time,gsml 
0-0-0-0,0*
0-0-0-1,1
0-0-1-0,2
0-0-1-1,3
0-1-0-0,4
0-1-0-1,5
0-1-1-0,6
0-1-1-1,7
1-0-0-0,8
1-0-0-1,9
1-0-1-0,10
1-0-1-1,11
1-1-0-0,12
1-1-0-1,13
1-1-1-0,14
1-1-1-1,15
1-0-0-0-0,16
1-0-0-0-1,17*
1-0-0-1-0,18
1-0-0-1-1,19
1-0-1-0-0,20
1-0-1-0-1,21
1-0-1-1-0,22
1-0-1-1-1,23
1-1-0-0-0,24
1-1-0-0-1,25
1-1-0-1-0,26
1-1-0-1-1,27
1-1-1-0-0,28
1-1-1-0-1,29
1-1-1-1-0,30
1-1-1-1-1,31
1-0-0-0-0-0,32
1-0-0-0-0-1,33
1-0-0-0-1-0,34*
1-0-0-0-1-1,35
1-0-0-1-0-0,36
1-0-0-1-0-1,37
1-0-0-1-1-0,38
1-0-0-1-1-1,39
1-0-1-0-0-0,40
1-0-1-0-0-1,41
1-0-1-0-1-0,42
1-0-1-0-1-1,43
1-0-1-1-1-0,44
1-0-1-1-0-1,45
1-0-1-1-1-0,46
1-0-1-1-1-1,47
1-1-0-0-0-0,48
1-1-0-0-0-1,49
1-1-0-0-1-0,50
1-1-0-0-1-1,51*
1-1-0-1-0-0,52
1-1-0-0-0-1,53
1-1-0-1-1-0,54
1-1-0-1-1-1,55
1-1-1-0-0-0,56
1-1-1-0-0-1,57
1-1-1-0-1-0,58
1-1-1-0-1-1,59
1-1-1-1-0-0,60
1-1-1-1-0-1,61
1-1-1-1-1-0,62
1-1-1-1-1-1,63
1-0-0-0-0-0-0,64
1-0-0-0-0-0-1,65
1-0-0-0-0-1-0,66
1-0-0-0-0-1-1,67
1-0-0-0-1-0-0,68*
1-0-0-0-1-0-1,69
1-0-0-0-1-1-0,70
1-0-0-0-1-1-1,71
1-0-0-1-0-0-0,72
1-0-0-1-0-0-1,73
1-0-0-1-0-1-0,74
1-0-0-1-0-1-1,75
1-0-0-1-1-0-0,76
1-0-0-1-1-0-1,77
1-0-0-1-1-1-0,78
1-0-0-1-1-1-1,79
1-0-1-0-0-0-0,80
1-0-1-0-0-0-1,81
1-0-1-0-0-1-0,82
1-0-1-0-0-1-1,83
1-0-1-0-1-0-0,84
1-0-1-0-1-0-1,85*
1-0-1-0-1-1-0,86
1-0-1-0-1-1-1,87
1-0-1-1-0-0-0,88
1-0-1-1-0-0-1,89
1-0-1-1-0-1-0,90
1-0-1-1-0-1-1,91
1-0-1-1-1-0-0,92
1-0-1-1-1-0-1,93
1-0-1-1-1-1-0,94
1-0-1-1-1-1-1,95
1-1-0-0-0-0-0,96
1-1-0-0-0-0-1,97
1-1-0-0-0-1-0,98
1-1-0-0-0-1-1,99
1-1-0-0-1-0-0,100
1-1-0-0-1-0-1,101
1-1-1-0-1-1-1,102*
1-1-0-0-1-1-1,103
1-1-0-1-0-0-0,104
1-1-0-1-0-0-0,105
1-1-0-1-0-1-0,106
1-1-0-1-0-1-1,107
1-1-0-1-1-0-0,108
1-1-0-1-1-0-1,109
1-1-0-1-1-1-0,110
1-1-0-1-1-1-1,111
1-1-1-0-0-0-0,112
1-1-1-0-0-0-1,113
1-1-1-0-0-1-0,114
1-1-1-0-0-1-1,115
1-1-1-0-1-0-0,116
1-1-1-0-1-0-1,117
1-1-1-0-1-1-0,118
0-1-1-1-0-1-1-1,119*
1-1-1-1-0-0-0,120
1-1-1-1-0-0-1,121
1-1-1-1-0-1-0,122
1-1-1-1-0-1-1,123
1-1-1-1-1-0-0,124
1-1-1-1-1-0-1,125
1-1-1-1-1-1-0,126
1-1-1-1-1-1-1,127
1-0-0-0-0-0-0-0,128
1-0-0-0-0-0-0-1,129
1-0-0-0-0-0-1-0,130
1-0-0-0-0-0-1-1,131
1-0-0-0-0-1-0-0,132
1-0-0-0-0-1-0-1,133
1-0-0-0-0-1-1-0,134
1-0-0-0-0-1-1-1,135
1-0-0-0-1-0-0-0,136*
1-0-0-0-1-0-0-1,137
1-0-0-0-1-0-1-0,138
1-0-0-0-1-0-1-1,139
1-0-0-0-1-1-0-0,140
1-0-0-0-1-1-0-1,141
1-0-0-0-1-1-1-0,142
1-0-0-0-1-1-1-1,143
1-0-0-1-0-0-0-0,144
1-0-0-1-0-0-0-1,145
1-0-0-1-0-0-1-0,146
1-0-0-1-0-0-1-1,147
1-0-0-1-0-1-0-0,148
1-0-0-1-0-1-0-1,149
1-0-0-1-0-1-1-1,150
1-0-0-1-0-1-1-1,151
1-0-0-1-1-0-0-0,152
1-0-0-1-1-0-0-1,153*
1-0-0-1-1-0-1-0,154
1-0-0-1-1-0-1-1,155
1-0-0-1-1-1-0-0,156
1-0-0-1-1-1-0-1,157
1-0-0-1-1-1-1-0,158
1-0-0-1-1-1-1-1,159
1-0-1-0-0-0-0-0,160
1-0-1-0-0-0-0-1,161
1-0-1-0-0-0-1-0,162
1-0-1-0-0-0-1-1,163
1-0-1-0-0-1-0-0,164
1-0-1-0-0-1-0-1,165
1-0-1-0-0-1-1-0,166
1-0-1-0-0-1-1-1,167
1-0-1-0-1-0-0-0,168
1-0-1-0-1-0-0-1,169
1-0-1-0-1-0-1-0,170*
1-0-1-0-1-0-1-1,171
1-0-1-0-1-1-0-0,172
1-0-1-0-1-1-0-1,173
1-0-1-0-1-1-1-0,174
1-0-1-0-1-1-1-1,175
1-0-1-1-0-0-0-0,176
1-0-1-1-0-0-0-1,177
1-0-1-1-0-0-1-0,178
1-0-1-1-0-0-1-1,179
1-0-1-1-0-1-0-0,180
1-0-1-1-0-1-0-1,181
1-0-1-1-0-1-1-0,182
1-0-1-1-0-1-1-1,183
1-0-1-1-1-0-0-0,184
1-0-1-1-1-0-0-1,185
1-0-1-1-1-0-1-0,186
1-0-1-1-1-0-1-1,187*
1-0-1-1-1-1-0-0,188
1-0-1-1-1-1-0-1,189
1-0-1-1-1-1-1-0,190
1-0-1-1-1-1-1-1,191
1-1-0-0-0-0-0-0,192
1-1-0-0-0-0-0-1,193
1-1-0-0-0-0-1-0,194
1-1-0-0-0-0-1-1,195
1-1-0-0-0-1-0-0,196
1-1-0-0-0-1-0-1,197
1-1-0-0-0-1-1-0,198
1-1-0-0-0-1-1-1,199
1-1-0-0-1-0-0-0,200
1-1-0-0-1-0-0-1,201
1-0-0-1-0-1-1-0,202
1-1-0-0-1-0-1-1,203
1-1-0-0-1-1-0-0,204*
1-1-0-0-1-1-0-1,205
1-1-0-0-1-1-1-0,206
1-1-0-0-1-1-1-1,207
1-1-0-1-0-0-0-0,208
1-1-0-1-0-0-0-1,209
1-1-0-1-0-0-1-0,210
1-1-0-1-0-0-1-1,211
1-1-0-1-0-1-0-0,212
